FR0000121485;05/04/22;581.50;585.80;577.00;584.60;164541
FR0010386334;05/04/22;20.42;20.58;19.43;19.90;336870
FR0000121964;05/04/22;23.30;23.51;22.72;23.00;1151084
FR0013204336;05/04/22;86.00;86.80;85.20;85.60;1127
FR0010307819;05/04/22;87.14;88.32;84.54;85.06;713396
FR0000065484;05/04/22;43.70;44.40;42.75;43.00;34440
FR0000121014;05/04/22;666.00;667.50;654.30;660.90;362451
FR0000121204;05/04/22;93.50;93.80;91.90;92.15;54462
FR0000121261;05/04/22;123.50;126.45;120.05;120.45;716562
FR0000130213;05/04/22;25.32;25.38;25.32;25.36;65163
FR0000053225;05/04/22;17.70;18.00;17.56;17.62;64578
US58933Y1055;05/04/22;75.00;77.80;75.00;77.70;651
LU1598757687;05/04/22;29.50;29.625;28.215;28.465;5928937
FR0000038606;05/04/22;25.65;25.65;24.25;24.35;41646
FR0011675362;05/04/22;40.01;41.92;39.90;40.98;324080
FR0000044448;05/04/22;87.60;88.60;85.10;85.15;56506
FR0000120859;05/04/22;39.54;39.68;38.10;38.20;62792
FI0009000681;05/04/22;5.094;5.115;5.076;5.102;342113
FR0010112524;05/04/22;31.68;31.92;30.46;30.46;130609
FR0000062234;05/04/22;1156.00;1156.00;1126.00;1128.00;325
FR0000120321;05/04/22;371.25;376.35;370.65;374.50;391128
FR0000133308;05/04/22;10.704;10.746;10.596;10.704;6011307
FR0000184798;05/04/22;38.07;38.30;36.03;36.11;839903
FR0014005HJ9;05/04/22;23.55;23.64;22.96;22.96;74000
FR0000064784;05/04/22;114.60;115.60;110.40;110.40;5036
FR0012882389;05/04/22;90.00;90.00;87.50;87.90;6546
FR0000124570;05/04/22;16.70;16.72;15.67;15.67;231656
FR0000130577;05/04/22;55.18;55.88;54.68;55.20;999683
FR0000039091;05/04/22;896.00;908.00;891.00;897.00;242
FR0000130395;05/04/22;189.00;194.20;189.00;193.60;56006
FR0000121634;05/04/22;120.50;121.00;120.00;120.00;119
FR0000121121;05/04/22;77.70;77.75;76.20;76.70;96849
FR0000120693;05/04/22;198.80;202.20;198.80;202.20;415781
FR0000052516;05/04/22;44.60;44.60;43.10;43.40;4487
FR0000052292;05/04/22;1293.00;1318.00;1290.50;1316.50;60059
FR0000131906;05/04/22;24.47;24.72;22.93;23.005;2285001
FR0000031684;05/04/22;36.50;36.95;36.20;36.50;27496
FR0013269123;05/04/22;26.78;26.86;26.42;26.53;138442
FR0010451203;05/04/22;18.615;18.75;17.725;17.74;1263082
FR0000073272;05/04/22;106.28;106.56;102.02;103.18;769684
FR0000120578;05/04/22;95.77;97.05;94.31;96.98;1944171
FR0010411983;05/04/22;28.57;28.82;27.83;27.90;364640
LU0088087324;05/04/22;8.354;8.466;8.306;8.39;901555
FR0010282822;05/04/22;92.70;92.80;91.00;92.20;7571
FR0000125007;05/04/22;54.42;54.55;51.97;52.30;1842587
FR0000121709;05/04/22;127.50;128.00;125.70;125.80;75829
AN8068571086;05/04/22;38.35;38.60;37.35;37.65;5702
FR0013199916;05/04/22;147.00;147.00;141.60;142.60;5290
FR0013227113;05/04/22;172.55;173.65;164.30;165.00;60387
FR0000050809;05/04/22;175.40;177.70;172.20;173.50;34873
FR0012757854;05/04/22;21.46;21.64;20.20;20.38;472753
FR0000064271;05/04/22;100.00;100.80;99.60;99.90;2519
NL00150001Q9;05/04/22;14.90;14.908;14.268;14.338;5069478
NL0000226223;05/04/22;38.695;38.865;36.505;36.625;3112842
FR0000121972;05/04/22;155.06;156.54;150.48;151.96;1076424
FR0000121220;05/04/22;66.30;67.00;64.06;65.40;390864
NL0014559478;05/04/22;11.355;11.40;10.93;11.00;747540
FR0000051807;05/04/22;347.00;353.20;345.90;348.70;98312
FR0000054900;05/04/22;8.85;8.85;8.57;8.605;148118
FR0013230612;05/04/22;25.20;25.55;25.10;25.25;22119
FR0004188670;05/04/22;13.00;13.00;12.90;12.98;2980
FR0005691656;05/04/22;132.30;132.70;126.20;126.50;24841
FR0000120271;05/04/22;47.00;47.06;45.705;46.30;5262056
FR0000054470;05/04/22;42.43;42.99;42.20;42.49;464695
FR0000054215;05/04/22;1000.00;1000.00;1000.00;1000.00;39
FR0013326246;05/04/22;68.00;68.91;67.23;68.31;508958
FR0000031775;05/04/22;30.90;30.90;29.65;29.80;49075
FR0004186856;05/04/22;138.60;139.40;136.40;139.00;2296
FR0000124141;05/04/22;29.70;29.79;28.06;28.32;2621122
FR0000031577;05/04/22;371.00;373.00;369.00;371.50;3601
FR0000127771;05/04/22;12.045;12.075;11.81;11.845;2999236
FR0013506730;05/04/22;11.595;11.915;11.44;11.48;946652
FR0004056851;05/04/22;16.77;16.79;16.15;16.27;386600
FR0011995588;05/04/22;19.00;19.90;18.62;19.44;79710
